"learning evaluation instances on certain fold","1-fold","2-fold","3-fold","4-fold","5-fold","6-fold","7-fold","8-fold","9-fold","10-fold"
1,0,0,0,0,0,0,0,0,0,0
2,50,50,50,50,50,50,50,50,50,50
3,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333
4,0,0,0,0,0,0,0,0,0,0
5,25,25,25,25,25,25,25,25,25,25
6,20,20,20,20,20,20,20,20,20,20
7,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333
8,28.57142857,28.57142857,28.57142857,28.57142857,28.57142857,28.57142857,28.57142857,28.57142857,28.57142857,28.57142857
9,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429
10,0,0,0,0,0,0,0,0,0,0
11,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
12,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
13,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
14,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111
15,20,20,20,20,20,20,20,20,20,20
16,20,20,20,20,20,20,20,20,20,20
17,20,20,20,20,20,20,20,20,20,20
18,18.18181818,18.18181818,18.18181818,18.18181818,18.18181818,18.18181818,18.18181818,18.18181818,18.18181818,18.18181818
19,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091
20,0,0,0,0,0,0,0,0,0,0
21,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333
22,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333
23,7.692307692,7.692307692,7.692307692,7.692307692,7.692307692,7.692307692,7.692307692,7.692307692,7.692307692,7.692307692
24,0,0,0,0,0,0,0,0,0,0
25,7.142857143,7.142857143,7.142857143,7.142857143,7.142857143,7.142857143,7.142857143,7.142857143,7.142857143,7.142857143
26,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667
27,0,0,0,0,0,0,0,0,0,0
28,-6.666666667,-6.666666667,-6.666666667,-6.666666667,-6.666666667,-6.666666667,-6.666666667,-6.666666667,-6.666666667,-6.666666667
29,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
33,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556
34,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895
35,10,10,10,10,10,10,10,10,10,10
36,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524
