"learning evaluation instances on certain fold","1-fold","2-fold","3-fold","4-fold","5-fold","6-fold","7-fold","8-fold","9-fold","10-fold"
1,0,0,0,0,0,0,0,0,0,0
2,50,50,50,50,50,50,50,50,50,50
3,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333
4,25,25,25,25,25,25,25,25,25,25
5,40,40,40,40,40,40,40,40,40,40
6,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333
7,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286
8,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
9,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333
10,30,30,30,30,30,30,30,30,30,30
11,36.36363636,36.36363636,36.36363636,36.36363636,36.36363636,36.36363636,36.36363636,36.36363636,36.36363636,36.36363636
12,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667
13,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615
14,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286
15,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667
16,50,50,50,50,50,50,50,50,50,50
17,52.94117647,52.94117647,52.94117647,52.94117647,52.94117647,52.94117647,52.94117647,52.94117647,52.94117647,52.94117647
18,50,50,50,50,50,50,50,50,50,50
19,47.36842105,47.36842105,47.36842105,47.36842105,47.36842105,47.36842105,47.36842105,47.36842105,47.36842105,47.36842105
20,45,45,45,45,45,45,45,45,45,45
21,47.61904762,47.61904762,47.61904762,47.61904762,47.61904762,47.61904762,47.61904762,47.61904762,47.61904762,47.61904762
22,50,50,50,50,50,50,50,50,50,50
23,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696
24,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333
25,48,48,48,48,48,48,48,48,48,48
26,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615
27,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444
28,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286
29,44.82758621,44.82758621,44.82758621,44.82758621,44.82758621,44.82758621,44.82758621,44.82758621,44.82758621,44.82758621
30,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667
31,48.38709677,48.38709677,48.38709677,48.38709677,48.38709677,48.38709677,48.38709677,48.38709677,48.38709677,48.38709677
