author_date_unix_timestamp,fix_unix_timestamp,fix,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug
1487190316,-1,0,1,1,1,0,1,4,298,8,8.162974537,1,11964,206.3019028,6176,0
1487191897,-1,0,1,1,1,0,33,13,74,3,1280.586146,1,11965,207.274109,6177,0
1487192433,-1,0,1,1,2,0.97876039,77,34,122,3,1280.59235,1,11966,208.2741036,6178,0
1487228757,-1,0,1,1,1,0,1,1,5065,98,0.733587963,1,1961,104.1692757,1015,0
1487233048,-1,0,1,1,1,0,1,1,5065,98,0.049664352,1,1962,105.0235549,1016,0
1487234847,-1,0,1,1,1,0,1,1,913,10,1.9734375,1,11967,209.027317,6179,0
1487236041,-1,0,4,14,32,3.956715341,44,439,345.15625,39,116.9636531,15,11968,209.7426351,3027,0
1487238431,-1,0,1,1,1,0,1,1,672,4,41.91851852,1,11969,210.4140093,706,0
1487238615,-1,0,1,1,1,0,2,2,1054,17,26.99053241,1,20,2.044486172,14,0
1487246249,-1,0,4,41,46,4.585935555,301,209,445.2608696,30,30.70629076,15,11970,209.9939493,3078,1
1487246984,-1,0,3,6,6,2.305624816,22,9,407.8333333,4,0.008506944,1,11971,210.9171097,2044.666667,0
1487247362,-1,0,1,2,2,0.918295834,3,3,413.5,11,124.9945023,2,11972,211.9143231,6182,0
1487247904,-1,0,1,1,15,3.462415349,23,23,56.13333333,3,3.267587963,2,11973,212.8863706,507,1
1487252463,-1,0,1,11,17,2.394033388,608,354,107.2352941,4,14.23113766,8,11974,213.4014257,28,0
1487257826,-1,0,5,13,13,3.286618146,31,25,272.7692308,11,0.102404736,3,11975,213.9907973,2469.8,1
1487258248,-1,0,1,5,5,2.289503844,24,21,122.4,3,0.004884259,1,11976,214.9712681,30,0
1487258683,-1,0,2,6,6,2.271782222,11,5,278,3,0.017822145,3,11977,215.9440434,370.5,1
1487259839,-1,0,1,7,8,2.594720082,106,65,98.375,4,5.602398727,5,11978,216.7737089,32,0
1487268714,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1487270645,-1,0,1,5,11,2.553346341,168,50,346.9090909,7,84.40560396,6,11979,217.2707859,512,1
1487271305,-1,0,1,2,3,1.492132447,29,28,422,3,63.44877315,2,11980,218.2702857,513,0
1487276647,-1,0,4,7,31,4.310987918,149,84,214.9032258,14,38.35065263,12,11981,218.8498356,1662.75,1
1487277839,-1,0,2,7,10,2.989715831,62,30,207.7,8,6.705920139,5,11982,219.6644776,3108.5,0
1487313618,-1,0,1,4,4,1.916030778,175,38,9.5,2,217.4075666,1,0,0,0,1
1487314652,1487313618,1,1,2,2,0.845350937,18,4,47,1,0.011967593,1,1,1,0,0
1487319862,-1,0,1,1,1,0,10,9,101,1,1.788564815,1,0,0,0,0
1487321268,-1,0,1,1,1,0,5,0,105,6,110.0132523,1,227,18.70724369,153,0
1487321904,-1,1,1,1,11,3.342440312,266,258,40.90909091,9,616.8212826,6,11983,220.2686256,6185,0
1487327252,-1,0,3,8,9,2.072611721,102,31,55.77777778,1,7.747638889,1,2,1.5,0,1
1487328486,-1,0,1,1,1,0,1,1,5065,98,1.104606481,1,1963,100.8537628,1017,0
1487328757,-1,0,1,2,3,1.440687389,107,36,188,6,238.6632253,2,11984,220.7332607,4919,0
1487329325,-1,0,1,1,1,0,2,2,408,3,56.07268519,1,11985,221.7293731,4920,0
1487329510,-1,1,1,2,2,0.863120569,6,1,38,1,343.13125,1,11986,222.7292815,6186,0
1487332270,-1,0,3,3,3,1.298794941,14,2,1549,18,3.683217593,3,11987,222.8488737,2308.333333,0
1487332721,1487327252,1,1,5,16,3.54837777,173,189,77.25,1,6.358255208,2,11988,223.8235328,6188,1
1487332865,-1,0,1,2,2,0.721928095,5,0,1447.5,41,2.696388889,1,11989,224.7760089,194,0
1487333888,-1,0,2,3,3,1.158938532,14,1,1035,41,0.658194444,2,11990,225.4261042,333,0
1487334169,-1,0,1,1,1,0,6,0,227,1,3.992789352,1,11991,226.4256226,515,0
1487336661,-1,0,1,1,3,0.398352661,165,14,646.6666667,6,2.943641975,3,11992,227.1569163,516,0
1487337847,-1,0,1,1,1,0,95,85,1059,5,0.013726852,1,11993,228.1452087,517,0
1487341479,1465979214,1,1,2,2,0.574635698,124,8,253.5,4,83.93244213,1,28,5.475896326,23,0
1487349916,-1,0,1,2,2,0.709825885,67,0,314,11,26.14234954,1,228,19.53808946,67,0
1487349954,-1,0,1,3,4,1.934361156,39,6,353.5,5,0.285610532,3,11994,228.7964605,518,0
1487350759,-1,0,2,3,3,1.355145403,72,15,618,5,2.35595679,2,11995,229.7621056,2720,0
1487350965,-1,0,1,2,2,0.468995594,30,20,159,2,3.243987269,2,3,3,1,0
1487352095,-1,0,1,1,2,0.395848547,179,0,0,0,0,0,4,4,2,0
1487354118,-1,0,2,4,4,1.991525851,330,0,391.25,12,349.4334549,3,2,2,0.5,0
1487364427,-1,0,1,5,7,2.156155825,45,30,87.85714286,2,103.0165146,2,2,0.121323529,1,0
1487409667,1401607906,1,1,1,4,1.821061717,18,51,169.75,4,390.0134375,1,11996,229.0311682,6189,0
1487410101,-1,0,3,4,4,1.638672711,51,120,321.75,13,10.01114873,3,11997,229.8468453,3941.666667,0
